DATE,ICNSA
1/9/1993,704930
1/16/1993,558516
1/23/1993,410944
1/30/1993,397000
2/6/1993,384707
2/13/1993,344520
2/20/1993,345116
2/27/1993,367412
3/6/1993,364185
3/13/1993,335154
3/20/1993,315473
3/27/1993,330512
4/3/1993,331871
4/10/1993,346648
4/17/1993,321564
4/24/1993,310916
5/1/1993,285098
5/8/1993,301906
5/15/1993,287944
5/22/1993,285444
5/29/1993,291206
6/5/1993,273411
6/12/1993,308535
6/19/1993,304843
6/26/1993,301549
7/3/1993,334335
7/10/1993,362425
7/17/1993,402348
7/24/1993,418260
7/31/1993,320155
8/7/1993,314579
8/14/1993,277263
8/21/1993,270913
8/28/1993,254231
9/4/1993,270528
9/11/1993,238902
9/18/1993,280903
